,Unnamed: 0,section_text,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,first_order_coherence,second_order_coherence,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,section_number,section_title,section_chapter
0,0,"The Employment Insurance (EI) program is under the jurisdiction of the federal government. The  current legislation is known as the Employment Insurance Act (the act). This act allows for the making of regulations to the legislation, with approval of the Governor in Council.The regulatory provisions are referred to as the Employment Insurance Regulations (EI Regulations) (EI Act 5(4)(5)(6); EI Act 24; EI Act 54), Employment Insurance (Collection of Premiums) Regulations (EI Act Part IV; EI Act 152), and National Employment Service Regulations (EI Act 60).NOTE: The Justice Laws Website provides an official consolidation, and up to date version, of the EI Act and Regulations.",37.6660566037736,13.27233962264151,16.404322709996244,18.66867924528302,13.697547169811322,13.424150943396228,58.93584905660377,8.0,2.944915254237288,0.8190868126721847,0.4942526964560863,0.0924395423037009,0.6699530407786369,0.8497699101765951,5.2075471698113205,3.0,3.346969852145554,21.2,18.0,11.178550889985695,1.7452830188679245,1.0,1.0821128943537894,106,54,0.5094339622641509,578,5,1.1.0,Authority,Chapter 1 - Basic concepts
1,1,"The EI program, which is insurance-based, is designed to protect individuals who have lost their job for reasons outside their control, while they look for new employment or upgrade their skills. It may also help unemployed individuals across the country find employment. The EI program also provides temporary financial assistance to workers who are sick, pregnant, caring for a newborn or newly adopted child, or caring for a family member who has a serious medical condition.The EI program marked its 75th year in 2015, having been implemented in 1940. The last major reform occurred in 1996. At that time, the program introduced changes to better reflect its primary objective of promoting employment, and to better emphasize that access to the program is linked to significant work attachment.",53.84970930232561,11.089573643410857,13.81666964889586,15.111627906976745,13.271627906976748,12.724651162790696,53.28294573643411,6.833333333333333,2.889570782082392,0.7175631649374223,0.4326994370531523,0.0387580163680259,0.7851940035820008,0.704847440123558,5.0852713178294575,4.0,2.6414437200869214,21.5,22.5,11.05667219374799,1.550387596899225,1.0,0.8349092724239541,129,89,0.689922480620155,672,6,1.1.1,Summary,Chapter 1 - Basic concepts
2,2,"Employment and Social Development Canada (ESDC) is the department of the Government of Canada responsible for developing, managing and delivering programs and services. The Minister of  Employment and Social Development is responsible for the EI act, except for PART IV - Insurable Earnings and Collection of Premiums, and PART VII - Benefit Repayment.The Canada Revenue Agency is responsible for resolving any questions pertaining to the insurability of employment or earnings (Part IV),  and for the collection of EI premiums (Part VII).Service Canada is a federal institution that is part of ESDC. Service Canada oversees all legislative provisions of the act, including the determination of benefit eligibility and entitlement, and issues EI benefits (Part I) directly to EI claimants. Its role is to provide timely and accurate EI benefit payments and services, and to support EI claimants through each stage of the service delivery process. It strives to accurately and efficiently provide benefit information, respond to enquiries, assist employers, process claims and provide the means to request a formal reconsideration of a decision, or to appeal decisions.Provinces and territories deliver the majority of Employment Benefits and National Employment Services (Part II). These benefits and services are delivered through Labour Market Development Agreements (LMDA) funded by the Government of Canada. Through these agreements, Government of Canada funding enables provinces and territories to design, deliver and manage skills and employment programs for unemployed individuals, particularly for those who are eligible for EI benefits.The Canada Employment Insurance Commission (CEIC) is a departmental corporation of  ESDC. It plays a key role in administering the EI program, including the making of regulations, with the approval of the Governor-in-Council, and reviewing, as  well as approving, policies related to the EI program administration and  delivery.  In addition to its role in EI  premium rate setting, the CEIC produces the annual EI Monitoring and Assessment Report.The Social Security Tribunal of Canada (SST) is an independent administrative body composed of a General Division and Appeal Division, that makes decisions on appeals related to the Act.",31.892638950644734,15.422947976878614,17.47673057361469,20.125922632281014,17.64656514006225,15.25791907514451,66.49977767896843,10.615384615384617,3.09590958432071,0.5365807103444308,0.4659526179940867,0.0513926169955256,0.84231669207414,0.818060343915766,5.471098265895954,5.0,3.2453661864241807,26.615384615384617,27.0,8.297714806253417,1.7485549132947975,1.0,1.0384574451953434,346,160,0.4624277456647399,1939,13,1.1.2,Roles and responsibilities,Chapter 1 - Basic concepts
3,3,"All workers employed in insurable employment are required to pay EI premiums. The fact that a worker can or cannot qualify for EI benefits is not a criterion to determine whether EI premiums are payable, as it is the employment, and not the individual that is insured. The fundamental requirement for an employment to be insurable is that there is an employer-employee relationship; i.e. the person is not self-employed. CRA holds the responsibility for making decisions as to whether an employment is insurable or not, and whether EI premiums are payable with respect to that employment.",45.84102272727276,13.014015151515151,15.247664890283003,17.172727272727276,13.924090909090914,11.69131313131313,59.09343434343434,8.5,3.1504199823165338,0.7783835569436325,0.4883557534419603,0.0773907223179051,0.8590790232022604,0.8213410675525665,4.878787878787879,3.0,3.075720256528336,24.75,25.5,8.584142356694699,1.606060606060606,1.0,0.9080802462891936,99,51,0.5151515151515151,493,4,1.1.3,EI premiums & Insurable Employment,Chapter 1 - Basic concepts
4,4,"As previously stated, Part I of the EI program provides temporary income support to workers who have lost their job for reasons outside their control, while they look for new employment or upgrade their skills. EI Part I also provides temporary financial assistance to workers who are sick, pregnant, caring for a newborn or newly adopted child, or caring for a family member who has a serious medical condition.The purpose of Part II of the EI Act is to provide employment assistance to eligible insured participants, through various programs and services.",49.72789855072466,13.941739130434785,15.021129683784007,17.918840579710146,17.350942028985507,12.50695652173913,66.53623188405797,11.0,3.376491228070176,0.3867389367937747,0.3789473684210526,0.0148864585512957,0.8513525128364563,0.8563393354415894,4.978260869565218,4.5,2.686432339471025,30.666666666666668,34.0,5.436502143433363,1.4891304347826086,1.0,0.7297194996737847,92,63,0.6847826086956522,467,3,1.1.4,Purpose of Employment Insurance benefits,Chapter 1 - Basic concepts
5,5,"There are a number of types of EI benefits available:Regular benefits are available to individuals who lose their jobs for reasons outside their control and who are available for and actively seeking employment.Special benefits are available to insured workers and self-employed individuals who are too sick to work, are pregnant or have recently given birth, are providing care to a newborn or newly adopted child, or who must be away from work temporarily to provide care or support to a family member with a serious medical condition.  Special benefits include:Maternity benefits: for biological mothers who are pregnant or have given birth. These benefits cover the period surrounding the child's birth (up to 15 weeks).Parental benefits: for any legal parent to care for their newborn or newly adopted child or children. One parent can receive these benefits, or they can share benefits between them (up to 40 weeks of standard parental benefits or 69 weeks of extended parental benefits when sharing).  However, one parent cannot receive more than 35 weeks of standard parental benefits or 61 weeks of extended parental benefits.Sickness benefits: for people who cannot work due to injury, illness, or the need to be isolated in quarantine because they may be carrying a disease (up to 26 weeks).Compassionate Care benefits: for people who must be away from work temporarily to provide care or support to a family member who is gravely ill with a significant risk of death within 26 weeks. One family member can receive these benefits, or they can be shared between several family members (up to 26 weeks).Family Caregiver benefits: for family members who must be away from work temporarily to care for or support a critically ill or injured family member. One family member can receive these benefits or they can be shared between several family members (up to 35 weeks for caring for a child; up to 15 weeks for caring for an adult).In certain circumstances various types of special benefits may be combined up to a maximum of 102 weeks of benefits within a maximum 104 week benefit period.Fishing  benefits  are for eligible self-employed fishers who do not meet the eligibility  requirements for EI regular benefits in their region. Job creation partnerships, work sharing, training benefits: for clients participating in developmental programs.",36.89090215128385,16.989437890353923,16.800685031470465,20.703122831367107,19.64806384455239,12.352569974554708,68.04279435577146,11.545454545454543,3.2330253440871,0.5819155638582171,0.4843892780389168,0.0646993870880502,0.8771608829498291,0.8505338562859429,4.928753180661578,4.0,2.8212232242530804,35.72727272727273,31.0,17.210413914471612,1.5801526717557253,1.0,0.8820015273504842,393,152,0.3867684478371501,1972,11,1.1.5,Types of Employment Insurance benefits,Chapter 1 - Basic concepts
6,6,"An insured person who wishes to receive benefits must first indicate their intention by making a claim and proving they meet the conditions necessary to establish a  benefit period. The filing of an initial claim is the first requirement to be  met and it is an essential requirement by which the Commission can begin the  process of determining whether a claimant is entitled to benefits (EI  Act 48).The payment of EI benefits is not based on the personal needs or financial obligations of an individual. Equally, the fact that one has paid premiums into the EI fund does not by itself provide a right to receive benefits. It is rather the right to apply for benefits that an insured person may exercise, as would be the case with an insurance policy to which one has subscribed. Eligibility and entitlement depend on meeting the various conditions established by the legislation.",44.72894117647061,14.622431372549023,16.404322709996244,19.298823529411766,16.21941176470588,11.133856209150323,60.01176470588236,9.0,3.158019188637909,0.7447616952116936,0.4441697514542569,0.0400366451584418,0.8689253330230713,0.8959415157636007,4.745098039215686,4.0,2.8572334801907515,30.6,29.0,15.447977213862014,1.5490196078431373,1.0,0.8702878831832215,153,91,0.5947712418300654,730,5,1.1.6,Requirement to apply for benefits,Chapter 1 - Basic concepts
7,7,"Under the act, all workers may be able to access the EI program if they are an insured worker; that is they must have paid into the EI account and have worked in insurable employment.Workers unable to work because they are temporarily unemployed, sick, pregnant, caring for a newborn or newly adopted child, or providing support to a seriously  ill family member, may receive temporary financial assistance if they meet specific qualifying and entitlement conditions.Under separate provisions of the act, self-employed workers, (those who work for themselves), may be entitled to EI special benefits if they  are registered for access to the EI program. Detailed information regarding  entitlement to benefits for self-employed workers is available in Chapter 24 of this digest.",38.86281250000002,15.7884375,15.903189008614271,19.05,18.12,12.674999999999995,65.59375,10.75,3.2697940765374973,0.929546274480452,0.4402593021014073,0.0882661274261839,0.917313595612844,0.8760404586791992,5.0,4.0,2.8201285431696195,32.0,33.5,8.336666000266533,1.6015625,1.0,0.841685843170568,128,81,0.6328125,655,4,1.1.7,Who can receive benefits?,Chapter 1 - Basic concepts
8,8,"Foreign workers employed in insurable employment are required to pay EI premiums, as it is the employment that is insured and  not the individual. However, foreign workers are exempt from EI premiums when  they remain covered under an EI program in their country while working  temporarily in Canada.Foreign workers, as with any other worker, can receive regular benefits, provided they meet eligibility and entitlement conditions, while in Canada.They may also be entitled to receive EI maternity, parental, compassionate care or family caregiver benefits after they leave Canada, as long as their social insurance number has not  expired (EI  Regulation 55(4)). These types of benefits can be paid outside of Canada, as there is no requirement to show availability for work.Foreign workers, as well as any other worker, may also receive sickness benefits, but only while in Canada. In order to receive sickness benefits all individuals must show that,  were it not for their illness, they would be available for work in Canada.Foreign workers who are allowed to remain in Canada after their work permit expires, and have applied to extend the work permit before it expired, may receive benefits pending receipt  of the new work permit. Those who obtain permanent residency status have full  rights to receive EI regular or special benefits, provided they meet all of the qualifying and entitlement conditions for the type of benefits requested.",48.99083333333334,13.050833333333332,13.90115768025156,16.0,15.237458333333336,12.2205,57.91666666666667,8.333333333333334,3.298655041566919,0.8728628355514291,0.4539631859555231,0.0699556699278216,0.9010921642184258,0.8871878726141793,4.954166666666667,4.0,2.6366770701438247,26.666666666666668,26.0,6.253887679764573,1.5458333333333334,1.0,0.8253681838360919,240,118,0.4916666666666666,1211,9,1.1.7.1,Foreign Workers,Chapter 1 - Basic concepts
9,9,"Upon receipt of an initial claim the Commission will review the claim and all related information, and make a decision as to whether the claimant is entitled to receive benefits. The claimant will then be notified of the decision. Notification may be in the form of a formal decision letter, or by way of the payment of benefits.Claimants who disagree with a decision have the right to request a reconsideration of that decision (EI Act  112(1)). A formal request for reconsideration provides a claimant with a review of the decision without having to go through a formal appeal process with an independent decision-making body. Following this review, the EI Commission either changes or reaffirms the decision regarding the issue in question and notifies the claimant of that decision.Claimants who disagree with the decision made following a request for reconsideration have the right to appeal that decision to the Social Security Tribunal (SST) General Division (EI Act  113).If the claimant or the Commission is dissatisfied with the decision reached by the SST's General Division, they may submit an appeal to the Appeal Division of the SST.",48.377631578947415,13.25466165413534,13.707050652182112,15.909774436090226,15.517902255639092,12.292842105263151,60.82706766917293,9.142857142857142,2.92700431289141,0.4507606858098125,0.4501715450448169,0.0336308448528865,0.8746883670488993,0.8420769572257996,4.963157894736842,4.0,2.9618114169889505,27.142857142857142,24.0,14.554612145085748,1.5473684210526315,1.0,0.9488876707146896,190,83,0.4368421052631579,961,7,1.1.8,Notification of a decision,Chapter 1 - Basic concepts
